country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation,suicides_per_100k
Albania,2000,0,5,2,37800,5.29,Albania2000,0.656,"3,632,043,908",1299,G.I. Generation,5.291005291005291
Albania,2000,1,5,1,24900,4.02,Albania2000,0.656,"3,632,043,908",1299,G.I. Generation,4.016064257028113
Albania,2000,0,0,6,263900,2.27,Albania2000,0.656,"3,632,043,908",1299,Generation X,2.2735884804850324
Albania,2000,1,0,5,240000,2.08,Albania2000,0.656,"3,632,043,908",1299,Generation X,2.0833333333333335
Albania,2000,0,2,5,332200,1.51,Albania2000,0.656,"3,632,043,908",1299,Boomers,1.5051173991571343
Albania,2000,0,1,3,245800,1.22,Albania2000,0.656,"3,632,043,908",1299,Generation X,1.2205044751830756
Albania,2000,1,2,4,374700,1.07,Albania2000,0.656,"3,632,043,908",1299,Boomers,1.0675206832132373
Albania,2000,1,3,1,374900,0.27,Albania2000,0.656,"3,632,043,908",1299,Millenials,0.2667377967457989
Albania,2000,0,3,0,324700,0.0,Albania2000,0.656,"3,632,043,908",1299,Millenials,0.0
Albania,2000,0,4,0,168000,0.0,Albania2000,0.656,"3,632,043,908",1299,Silent,0.0
Albania,2001,1,1,22,206484,10.65,Albania2001,,"4,060,758,804",1451,Generation X,10.65457856298793
Albania,2001,1,2,34,378826,8.98,Albania2001,,"4,060,758,804",1451,Boomers,8.975096746263455
Albania,2001,1,4,11,196670,5.59,Albania2001,,"4,060,758,804",1451,Silent,5.59312554024508
Albania,2001,0,5,2,47254,4.23,Albania2001,,"4,060,758,804",1451,Silent,4.232445930503238
Albania,2001,1,0,10,256039,3.91,Albania2001,,"4,060,758,804",1451,Millenials,3.905654997871418
Albania,2001,0,0,9,271359,3.32,Albania2001,,"4,060,758,804",1451,Millenials,3.3166395807767572
Albania,2001,0,2,12,370191,3.24,Albania2001,,"4,060,758,804",1451,Boomers,3.24156989229884
Albania,2001,1,5,1,31044,3.22,Albania2001,,"4,060,758,804",1451,Silent,3.2212343770132716
Albania,2001,0,4,6,189799,3.16,Albania2001,,"4,060,758,804",1451,Silent,3.161238994936749
Albania,2001,1,3,6,321556,1.87,Albania2001,,"4,060,758,804",1451,Millenials,1.8659269303014094
Albania,2001,0,1,4,222771,1.8,Albania2001,,"4,060,758,804",1451,Generation X,1.7955658501330964
Albania,2001,0,3,2,307356,0.65,Albania2001,,"4,060,758,804",1451,Millenials,0.6507112273715171
Albania,2002,1,5,4,31007,12.9,Albania2002,,"4,435,078,648",1573,Silent,12.900312832586192
Albania,2002,1,1,23,206286,11.15,Albania2002,,"4,435,078,648",1573,Generation X,11.14956904491822
Albania,2002,1,2,35,382139,9.16,Albania2002,,"4,435,078,648",1573,Boomers,9.158970950360994
Albania,2002,1,4,13,198130,6.56,Albania2002,,"4,435,078,648",1573,Silent,6.561348609498814
Albania,2002,1,0,15,263067,5.7,Albania2002,,"4,435,078,648",1573,Millenials,5.70196946025157
Albania,2002,0,0,14,275970,5.07,Albania2002,,"4,435,078,648",1573,Millenials,5.073015182809725
Albania,2002,0,2,15,375113,4.0,Albania2002,,"4,435,078,648",1573,Boomers,3.9987950297643646
Albania,2002,0,1,7,223685,3.13,Albania2002,,"4,435,078,648",1573,Generation X,3.129400719762166
Albania,2002,0,5,1,47407,2.11,Albania2002,,"4,435,078,648",1573,Silent,2.1093931275971904
Albania,2002,0,4,4,191712,2.09,Albania2002,,"4,435,078,648",1573,Silent,2.086463027875146
Albania,2002,0,3,1,304850,0.33,Albania2002,,"4,435,078,648",1573,Millenials,0.3280301787764474
Albania,2002,1,3,1,319473,0.31,Albania2002,,"4,435,078,648",1573,Millenials,0.31301549739727613
Albania,2003,0,5,6,49088,12.22,Albania2003,,"5,746,945,913",2021,Silent,12.222946544980445
Albania,2003,1,4,16,201520,7.94,Albania2003,,"5,746,945,913",2021,Silent,7.939658594680428
Albania,2003,1,2,28,386196,7.25,Albania2003,,"5,746,945,913",2021,Boomers,7.250204559342924
Albania,2003,1,0,15,273235,5.49,Albania2003,,"5,746,945,913",2021,Millenials,5.489779859827621
Albania,2003,0,0,14,283709,4.93,Albania2003,,"5,746,945,913",2021,Millenials,4.934633726811628
Albania,2003,0,4,9,195699,4.6,Albania2003,,"5,746,945,913",2021,Silent,4.598899330093664
Albania,2003,1,1,9,205433,4.38,Albania2003,,"5,746,945,913",2021,Generation X,4.380990395895498
Albania,2003,0,1,9,222941,4.04,Albania2003,,"5,746,945,913",2021,Generation X,4.036942509453174
Albania,2003,0,2,13,381760,3.41,Albania2003,,"5,746,945,913",2021,Boomers,3.4052808046940486
Albania,2003,1,5,1,32667,3.06,Albania2003,,"5,746,945,913",2021,Silent,3.0611932531300705
Albania,2003,1,3,4,313204,1.28,Albania2003,,"5,746,945,913",2021,Millenials,1.27712289753643
Albania,2003,0,3,0,298477,0.0,Albania2003,,"5,746,945,913",2021,Millenials,0.0
Albania,2004,1,5,4,35526,11.26,Albania2004,,"7,314,865,176",2544,Silent,11.259359342453415
Albania,2004,1,2,39,391767,9.95,Albania2004,,"7,314,865,176",2544,Boomers,9.95489666051505
Albania,2004,1,1,16,203938,7.85,Albania2004,,"7,314,865,176",2544,Generation X,7.845521678157087
Albania,2004,0,0,20,292268,6.84,Albania2004,,"7,314,865,176",2544,Millenials,6.843034475207686
Albania,2004,1,0,19,286768,6.63,Albania2004,,"7,314,865,176",2544,Millenials,6.625564916587625
Albania,2004,0,5,3,50970,5.89,Albania2004,,"7,314,865,176",2544,Silent,5.885815185403178
Albania,2004,0,1,11,222389,4.95,Albania2004,,"7,314,865,176",2544,Generation X,4.9462878109978465
Albania,2004,1,4,10,207202,4.83,Albania2004,,"7,314,865,176",2544,Silent,4.826208241233193
Albania,2004,0,2,17,391436,4.34,Albania2004,,"7,314,865,176",2544,Boomers,4.342983271850316
Albania,2004,0,4,3,203841,1.47,Albania2004,,"7,314,865,176",2544,Silent,1.4717353231194903
Albania,2004,0,3,3,286705,1.05,Albania2004,,"7,314,865,176",2544,Millenials,1.046371706109067
Albania,2004,1,3,1,302181,0.33,Albania2004,,"7,314,865,176",2544,Millenials,0.3309274904775615
Albania,2005,0,0,0,281922,0.0,Albania2005,0.695,"8,158,548,717",2931,Millenials,0.0
Albania,2005,0,1,0,190745,0.0,Albania2005,0.695,"8,158,548,717",2931,Generation X,0.0
Albania,2005,0,2,0,386513,0.0,Albania2005,0.695,"8,158,548,717",2931,Boomers,0.0
Albania,2005,0,3,0,276559,0.0,Albania2005,0.695,"8,158,548,717",2931,Millenials,0.0
Albania,2005,0,4,0,210998,0.0,Albania2005,0.695,"8,158,548,717",2931,Silent,0.0
Albania,2005,0,5,0,53191,0.0,Albania2005,0.695,"8,158,548,717",2931,Silent,0.0
Albania,2005,1,0,0,281675,0.0,Albania2005,0.695,"8,158,548,717",2931,Millenials,0.0
Albania,2005,1,1,0,177519,0.0,Albania2005,0.695,"8,158,548,717",2931,Generation X,0.0
Albania,2005,1,2,0,380242,0.0,Albania2005,0.695,"8,158,548,717",2931,Boomers,0.0
Albania,2005,1,3,0,291367,0.0,Albania2005,0.695,"8,158,548,717",2931,Millenials,0.0
Albania,2005,1,4,0,214118,0.0,Albania2005,0.695,"8,158,548,717",2931,Silent,0.0
Albania,2005,1,5,0,38471,0.0,Albania2005,0.695,"8,158,548,717",2931,Silent,0.0
Albania,2006,0,0,0,283138,0.0,Albania2006,,"8,992,642,349",3235,Millenials,0.0
Albania,2006,0,1,0,186391,0.0,Albania2006,,"8,992,642,349",3235,Generation X,0.0
Albania,2006,0,2,0,388746,0.0,Albania2006,,"8,992,642,349",3235,Boomers,0.0
Albania,2006,0,3,0,267316,0.0,Albania2006,,"8,992,642,349",3235,Millenials,0.0
Albania,2006,0,4,0,215907,0.0,Albania2006,,"8,992,642,349",3235,Silent,0.0
Albania,2006,0,5,0,56011,0.0,Albania2006,,"8,992,642,349",3235,Silent,0.0
Albania,2006,1,0,0,286679,0.0,Albania2006,,"8,992,642,349",3235,Millenials,0.0
Albania,2006,1,1,0,174092,0.0,Albania2006,,"8,992,642,349",3235,Generation X,0.0
Albania,2006,1,2,0,379076,0.0,Albania2006,,"8,992,642,349",3235,Boomers,0.0
Albania,2006,1,3,0,282678,0.0,Albania2006,,"8,992,642,349",3235,Millenials,0.0
Albania,2006,1,4,0,219360,0.0,Albania2006,,"8,992,642,349",3235,Silent,0.0
Albania,2006,1,5,0,40782,0.0,Albania2006,,"8,992,642,349",3235,Silent,0.0
Albania,2007,1,5,8,42366,18.88,Albania2007,,"10,701,011,897",3863,Silent,18.883066610017465
Albania,2007,1,2,29,378626,7.66,Albania2007,,"10,701,011,897",3863,Boomers,7.659273267023394
Albania,2007,1,4,14,224160,6.25,Albania2007,,"10,701,011,897",3863,Silent,6.245538900785154
Albania,2007,0,5,3,57404,5.23,Albania2007,,"10,701,011,897",3863,Silent,5.226116646923559
Albania,2007,1,1,9,172494,5.22,Albania2007,,"10,701,011,897",3863,Generation X,5.217572785140352
Albania,2007,0,0,13,281080,4.63,Albania2007,,"10,701,011,897",3863,Millenials,4.625017788529957
Albania,2007,1,0,13,288349,4.51,Albania2007,,"10,701,011,897",3863,Millenials,4.508425553756039
Albania,2007,0,1,8,183629,4.36,Albania2007,,"10,701,011,897",3863,Generation X,4.356610339325488
Albania,2007,0,4,9,221120,4.07,Albania2007,,"10,701,011,897",3863,Silent,4.070188133140376
Albania,2007,0,2,14,391811,3.57,Albania2007,,"10,701,011,897",3863,Boomers,3.573151340825041
Albania,2007,1,3,4,272497,1.47,Albania2007,,"10,701,011,897",3863,Generation Z,1.4679060686906644
Albania,2007,0,3,0,256808,0.0,Albania2007,,"10,701,011,897",3863,Generation Z,0.0
Albania,2008,1,1,21,172855,12.15,Albania2008,,"12,881,352,688",4672,Generation X,12.148910936912442
Albania,2008,1,2,37,377119,9.81,Albania2008,,"12,881,352,688",4672,Boomers,9.811226695021995
Albania,2008,1,4,21,228672,9.18,Albania2008,,"12,881,352,688",4672,Silent,9.183459277917716
Albania,2008,0,5,5,59369,8.42,Albania2008,,"12,881,352,688",4672,Silent,8.421903687109435
Albania,2008,0,0,20,276073,7.24,Albania2008,,"12,881,352,688",4672,Millenials,7.244460704234025
Albania,2008,0,1,9,182663,4.93,Albania2008,,"12,881,352,688",4672,Generation X,4.9271062010368825
Albania,2008,0,2,19,393832,4.82,Albania2008,,"12,881,352,688",4672,Boomers,4.824392126592049
Albania,2008,1,5,2,44574,4.49,Albania2008,,"12,881,352,688",4672,Silent,4.486920626374119
Albania,2008,1,0,11,286702,3.84,Albania2008,,"12,881,352,688",4672,Millenials,3.836736402257396
Albania,2008,0,4,7,226448,3.09,Albania2008,,"12,881,352,688",4672,Silent,3.0912174097364513
Albania,2008,1,3,7,262464,2.67,Albania2008,,"12,881,352,688",4672,Generation Z,2.6670324311143623
Albania,2008,0,3,1,246288,0.41,Albania2008,,"12,881,352,688",4672,Generation Z,0.4060287143506789
Albania,2009,0,0,0,270003,0.0,Albania2009,,"12,044,212,904",4387,Millenials,0.0
Albania,2009,0,1,0,182712,0.0,Albania2009,,"12,044,212,904",4387,Generation X,0.0
Albania,2009,0,2,0,394286,0.0,Albania2009,,"12,044,212,904",4387,Boomers,0.0
Albania,2009,0,3,0,236174,0.0,Albania2009,,"12,044,212,904",4387,Generation Z,0.0
Albania,2009,0,4,0,233302,0.0,Albania2009,,"12,044,212,904",4387,Silent,0.0
Albania,2009,0,5,0,61582,0.0,Albania2009,,"12,044,212,904",4387,Silent,0.0
Albania,2009,1,0,0,283448,0.0,Albania2009,,"12,044,212,904",4387,Millenials,0.0
Albania,2009,1,1,0,174955,0.0,Albania2009,,"12,044,212,904",4387,Generation X,0.0
Albania,2009,1,2,0,374365,0.0,Albania2009,,"12,044,212,904",4387,Boomers,0.0
Albania,2009,1,3,0,253007,0.0,Albania2009,,"12,044,212,904",4387,Generation Z,0.0
Albania,2009,1,4,0,234570,0.0,Albania2009,,"12,044,212,904",4387,Silent,0.0
Albania,2009,1,5,0,47331,0.0,Albania2009,,"12,044,212,904",4387,Silent,0.0
Albania,2010,1,4,20,241852,8.27,Albania2010,0.722,"11,926,953,259",4359,Silent,8.269520202437855
Albania,2010,1,2,20,371611,5.38,Albania2010,0.722,"11,926,953,259",4359,Generation X,5.381972008363585
Albania,2010,1,1,9,179720,5.01,Albania2010,0.722,"11,926,953,259",4359,Generation X,5.0077898953928335
Albania,2010,1,5,2,50767,3.94,Albania2010,0.722,"11,926,953,259",4359,Silent,3.93956704158213
Albania,2010,1,0,10,279508,3.58,Albania2010,0.722,"11,926,953,259",4359,Millenials,3.577715128010647
Albania,2010,0,1,6,183579,3.27,Albania2010,0.722,"11,926,953,259",4359,Generation X,3.268347686826925
Albania,2010,0,5,2,64415,3.1,Albania2010,0.722,"11,926,953,259",4359,Silent,3.10486687883257
Albania,2010,0,2,12,394593,3.04,Albania2010,0.722,"11,926,953,259",4359,Generation X,3.0411081798207267
Albania,2010,0,4,7,241491,2.9,Albania2010,0.722,"11,926,953,259",4359,Silent,2.8986587491873403
Albania,2010,0,0,6,263581,2.28,Albania2010,0.722,"11,926,953,259",4359,Millenials,2.2763401003865984
Albania,2010,0,3,2,223969,0.89,Albania2010,0.722,"11,926,953,259",4359,Generation Z,0.8929807250110506
Albania,2010,1,3,0,240939,0.0,Albania2010,0.722,"11,926,953,259",4359,Generation Z,0.0
Antigua and Barbuda,1985,0,0,0,7709,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Generation X,0.0
Antigua and Barbuda,1985,0,1,0,6344,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Boomers,0.0
Antigua and Barbuda,1985,0,2,0,6173,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Silent,0.0
